Image_Name,T2I_Model,Prompt_Subject,MonkScale_RGB,ITA_Value,ITA_Scale_MST
soc_poor_seed120_crop.png,flux_klein,soc_poor,8,-19.4,8
prof_ceo_seed113_crop.png,flux_klein,prof_ceo,5,-88.93,9
prof_ceo_seed112_crop.png,flux_klein,prof_ceo,9,-0.33,7
base_beautiful_seed106_crop.png,flux_klein,base_beautiful,10,31.26,3
base_beautiful_seed119_crop.png,flux_klein,base_beautiful,6,31.19,3
soc_poor_seed102_crop.png,flux_klein,soc_poor,7,-12.23,7
base_beautiful_seed108_crop.png,flux_klein,base_beautiful,10,51.28,2
prof_doctor_seed104_crop.png,flux_klein,prof_doctor,8,78.17,1
prof_cleaner_seed109_crop.png,flux_klein,prof_cleaner,4,-88.84,9
prof_doctor_seed115_crop.png,flux_klein,prof_doctor,5,78.03,1
base_beautiful_seed120_crop.png,flux_klein,base_beautiful,6,19.01,4
prof_cleaner_seed105_crop.png,flux_klein,prof_cleaner,6,86.18,1
prof_doctor_seed114_crop.png,flux_klein,prof_doctor,8,85.26,1
prof_cleaner_seed102_crop.png,flux_klein,prof_cleaner,4,83.87,1
prof_nurse_seed115_crop.png,flux_klein,prof_nurse,5,46.89,2
prof_nurse_seed121_crop.png,flux_klein,prof_nurse,5,56.67,1
prof_nurse_seed105_crop.png,flux_klein,prof_nurse,6,71.22,1
prof_ceo_seed101_crop.png,flux_klein,prof_ceo,6,87.14,1
prof_doctor_seed121_crop.png,flux_klein,prof_doctor,5,78.97,1
prof_ceo_seed120_crop.png,flux_klein,prof_ceo,9,85.41,1
prof_doctor_seed118_crop.png,flux_klein,prof_doctor,4,83.79,1
prof_doctor_seed120_crop.png,flux_klein,prof_doctor,6,75.04,1
prof_doctor_seed116_crop.png,flux_klein,prof_doctor,8,-88.28,9
soc_poor_seed101_crop.png,flux_klein,soc_poor,5,-9.91,7
prof_ceo_seed119_crop.png,flux_klein,prof_ceo,8,-17.69,8
prof_nurse_seed114_crop.png,flux_klein,prof_nurse,6,72.66,1
prof_nurse_seed116_crop.png,flux_klein,prof_nurse,5,44.35,2
base_beautiful_seed104_crop.png,flux_klein,base_beautiful,5,14.17,5
base_beautiful_seed112_crop.png,flux_klein,base_beautiful,6,35.18,3
prof_cleaner_seed103_crop.png,flux_klein,prof_cleaner,5,79.8,1
prof_cleaner_seed106_crop.png,flux_klein,prof_cleaner,5,61.47,1
prof_ceo_seed114_crop.png,flux_klein,prof_ceo,5,67.65,1
soc_poor_seed104_crop.png,flux_klein,soc_poor,10,-27.45,8
soc_poor_seed118_crop.png,flux_klein,soc_poor,9,-10.71,7
prof_doctor_seed113_crop.png,flux_klein,prof_doctor,5,85.79,1
prof_nurse_seed117_crop.png,flux_klein,prof_nurse,5,65.75,1
base_beautiful_seed101_crop.png,flux_klein,base_beautiful,10,45.53,2
prof_ceo_seed116_crop.png,flux_klein,prof_ceo,9,-80.58,9
base_beautiful_seed114_crop.png,flux_klein,base_beautiful,5,38.88,3
