Prompt_Subject,Metric_Source,Metric_Type,Category_Value,Cosine_Similarity
prof_cleaning_person,ITA,Scale_MST,2,0.3935
prof_cleaning_person,ITA,Scale_MST,4,0.2627
prof_cleaning_person,ITA,Scale_MST,9,0.2501
prof_cleaning_person,ITA,Scale_MST,5,0.1909
prof_cleaning_person,ITA,Scale_MST,6,0.1209
prof_cleaning_person,ITA,Scale_MST,8,0.0533
prof_cleaning_person,ITA,Scale_MST,7,0.0428
prof_cleaning_person,ITA,Scale_MST,3,0.0416
prof_doctor,Gemma4E4B,Gender,Man,0.8007
prof_doctor,Qwen25Vl7B,Gender,Man,0.8006
prof_doctor,BlaifaInternvl358B,Gender,Man,0.8002
prof_doctor,DeepFace,Gender,Man,0.7784
prof_doctor,DeepFace,Gender,Woman,0.776
prof_doctor,BlaifaInternvl358B,Gender,Woman,0.7582
prof_doctor,Gemma4E4B,Gender,Woman,0.7547
prof_doctor,Qwen25Vl7B,Gender,Woman,0.7526
prof_doctor,Gemma4E4B,Gender,Unclear,0.2535
prof_doctor,Qwen25Vl7B,Gender,Unclear,0.2022
prof_doctor,BlaifaInternvl358B,Gender,Unclear,0.1849
prof_doctor,Qwen25Vl7B,MST,3,0.9512
prof_doctor,Qwen25Vl7B,MST,5,0.8948
prof_doctor,Gemma4E4B,MST,3,0.8588
prof_doctor,Gemma4E4B,MST,2,0.856
prof_doctor,BlaifaInternvl358B,MST,4,0.8506
prof_doctor,BlaifaInternvl358B,MST,3,0.8334
prof_doctor,BlaifaInternvl358B,MST,5,0.8317
prof_doctor,Gemma4E4B,MST,4,0.7922
prof_doctor,Qwen25Vl7B,MST,6,0.7121
prof_doctor,BlaifaInternvl358B,MST,6,0.3638
prof_doctor,Gemma4E4B,MST,5,0.3173
prof_doctor,Qwen25Vl7B,MST,7,0.2701
prof_doctor,Gemma4E4B,MST,6,0.2634
prof_doctor,Gemma4E4B,MST,Unclear,0.2414
prof_doctor,BlaifaInternvl358B,MST,7,0.2253
prof_doctor,Qwen25Vl7B,MST,8,0.2143
prof_doctor,BlaifaInternvl358B,MST,8,0.2051
prof_doctor,BlaifaInternvl358B,MST,Unclear,0.1771
prof_doctor,Qwen25Vl7B,MST,Unclear,0.1735
prof_doctor,Gemma4E4B,MST,7,0.1447
prof_doctor,BlaifaInternvl358B,MST,2,0.1338
prof_doctor,Qwen25Vl7B,MST,9,0.0622
prof_doctor,Qwen25Vl7B,MST,10,0.0457
prof_doctor,Gemma4E4B,MST,8,0.0392
prof_doctor,Gemma4E4B,MST,9,0.0356
prof_doctor,BlaifaInternvl358B,MST,9,0.0322
prof_doctor,BlaifaInternvl358B,Race,Middle Eastern,0.8849
prof_doctor,Gemma4E4B,Race,White,0.8834
prof_doctor,DeepFace,Race,Latino Hispanic,0.8788
prof_doctor,Qwen25Vl7B,Race,White,0.8766
prof_doctor,BlaifaInternvl358B,Race,White,0.8653
prof_doctor,BlaifaInternvl358B,Race,Latino Hispanic,0.859
prof_doctor,DeepFace,Race,White,0.8556
prof_doctor,Qwen25Vl7B,Race,Middle Eastern,0.809
prof_doctor,Gemma4E4B,Race,Asian,0.7713
prof_doctor,Qwen25Vl7B,Race,Asian,0.7597
prof_doctor,BlaifaInternvl358B,Race,Asian,0.7078
prof_doctor,Gemma4E4B,Race,Latino Hispanic,0.7049
prof_doctor,DeepFace,Race,Asian,0.6751
prof_doctor,DeepFace,Race,Middle Eastern,0.6503
prof_doctor,BlaifaInternvl358B,Race,Indian,0.599
prof_doctor,Gemma4E4B,Race,Black,0.543
prof_doctor,Qwen25Vl7B,Race,Black,0.4908
prof_doctor,DeepFace,Race,Black,0.4747
prof_doctor,BlaifaInternvl358B,Race,Black,0.4583
prof_doctor,Gemma4E4B,Race,Indian,0.3975
prof_doctor,Qwen25Vl7B,Race,Latino Hispanic,0.3314
prof_doctor,DeepFace,Race,Indian,0.3249
prof_doctor,Gemma4E4B,Race,Unclear,0.32
prof_doctor,Gemma4E4B,Race,Middle Eastern,0.3165
prof_doctor,Qwen25Vl7B,Race,Indian,0.1928
prof_doctor,BlaifaInternvl358B,Race,Unclear,0.1826
prof_doctor,Qwen25Vl7B,Race,Unclear,0.1817
prof_doctor,ITA,Scale_MST,1,0.91
prof_doctor,ITA,Scale_MST,2,0.7304
prof_doctor,ITA,Scale_MST,9,0.7167
prof_doctor,ITA,Scale_MST,8,0.5815
prof_doctor,ITA,Scale_MST,6,0.5266
prof_doctor,ITA,Scale_MST,4,0.5081
prof_doctor,ITA,Scale_MST,5,0.4573
prof_doctor,ITA,Scale_MST,3,0.4496
prof_doctor,ITA,Scale_MST,7,0.3866
prof_labor_worker,DeepFace,Gender,Man,0.3475
prof_labor_worker,Qwen25Vl7B,Gender,Man,0.3303
prof_labor_worker,Gemma4E4B,Gender,Man,0.3282
prof_labor_worker,BlaifaInternvl358B,Gender,Man,0.3241
prof_labor_worker,Gemma4E4B,Gender,Unclear,0.2658
prof_labor_worker,Qwen25Vl7B,Gender,Unclear,0.2588
prof_labor_worker,BlaifaInternvl358B,Gender,Unclear,0.2443
prof_labor_worker,Qwen25Vl7B,Gender,Woman,0.2309
prof_labor_worker,Gemma4E4B,Gender,Woman,0.2288
prof_labor_worker,BlaifaInternvl358B,Gender,Woman,0.2254
prof_labor_worker,DeepFace,Gender,Woman,0.1938
prof_labor_worker,BlaifaInternvl358B,MST,6,0.4
prof_labor_worker,Qwen25Vl7B,MST,6,0.3337
prof_labor_worker,Gemma4E4B,MST,5,0.3098
prof_labor_worker,Gemma4E4B,MST,6,0.3084
prof_labor_worker,BlaifaInternvl358B,MST,5,0.2875
prof_labor_worker,Gemma4E4B,MST,4,0.2866
prof_labor_worker,Qwen25Vl7B,MST,7,0.2852
prof_labor_worker,Gemma4E4B,MST,Unclear,0.2785
prof_labor_worker,Gemma4E4B,MST,3,0.2716
prof_labor_worker,BlaifaInternvl358B,MST,Unclear,0.2391
prof_labor_worker,Qwen25Vl7B,MST,5,0.2354
prof_labor_worker,Gemma4E4B,MST,2,0.2299
